claim_id,customer_id,claim_date,amount,status,details,snapshot_date
CLM1030,CUST3728,2025-06-03,7940.54,Rejected,"{""damage_type"": ""Flood"", ""description"": ""Town politics central."", ""location"": {""lat"": 50.649552, ""lon"": 18.971315}}",2024-03-01
CLM1031,CUST4618,2025-06-03,4300.38,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Expert cultural dream seat full bit four any."", ""location"": {""lat"": 50.378444, ""lon"": 16.735279}}",2024-03-01
CLM1032,CUST3574,2025-06-03,6451.99,Rejected,"{""damage_type"": ""Flood"", ""description"": ""Long significant mention real."", ""location"": {""lat"": 50.331855, ""lon"": 15.94977}}",2024-03-01
CLM1033,CUST1055,2025-06-03,3917.78,Approved,"{""damage_type"": ""Fire"", ""description"": ""Only else how."", ""location"": {""lat"": 49.705444, ""lon"": 15.490649}}",2024-03-01
CLM1034,CUST1367,2025-06-03,3727.16,Pending,"{""damage_type"": ""Collision"", ""description"": ""Spring already although pay single more board keep."", ""location"": {""lat"": 50.827374, ""lon"": 18.819157}}",2024-03-01
CLM1035,CUST408,2025-06-03,5464.43,Approved,"{""damage_type"": ""Collision"", ""description"": ""Operation threat stock Mrs."", ""location"": {""lat"": 50.565569, ""lon"": 12.109025}}",2024-03-01
CLM1036,CUST4373,2025-06-03,5816.31,Pending,"{""damage_type"": ""Theft"", ""description"": ""This music outside."", ""location"": {""lat"": 49.630444, ""lon"": 16.750872}}",2024-03-01
CLM1037,CUST3137,2025-06-03,2425.67,Pending,"{""damage_type"": ""Fire"", ""description"": ""Black account develop red term wonder reveal."", ""location"": {""lat"": 49.885673, ""lon"": 15.175869}}",2024-03-01
CLM1038,CUST2852,2025-06-03,4030.48,Pending,"{""damage_type"": ""Theft"", ""description"": ""Sing cause though head girl."", ""location"": {""lat"": 50.562558, ""lon"": 18.18146}}",2024-03-01
CLM1039,CUST2295,2025-06-03,9992.08,Pending,"{""damage_type"": ""Collision"", ""description"": ""Single American top model vote onto."", ""location"": {""lat"": 48.584574, ""lon"": 12.939996}}",2024-03-01
CLM1040,CUST2442,2025-06-03,2046.59,Approved,"{""damage_type"": ""Flood"", ""description"": ""Shoulder across realize yard."", ""location"": {""lat"": 48.983493, ""lon"": 13.894712}}",2024-03-01
CLM1041,CUST4513,2025-06-03,2321.74,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Tv member consumer single thought."", ""location"": {""lat"": 49.526347, ""lon"": 15.1185}}",2024-03-01
CLM1042,CUST1326,2025-06-03,5906.89,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Sit decade water weight probably."", ""location"": {""lat"": 48.68026, ""lon"": 17.287566}}",2024-03-01
CLM1043,CUST331,2025-06-03,7724.54,Approved,"{""damage_type"": ""Fire"", ""description"": ""Many always pretty exactly standard week."", ""location"": {""lat"": 50.274884, ""lon"": 13.589353}}",2024-03-01
CLM1044,CUST3274,2025-06-03,6508.0,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Test worker because often front friend dream."", ""location"": {""lat"": 50.782247, ""lon"": 17.021086}}",2024-03-01
CLM1045,CUST2474,2025-06-03,1229.65,Approved,"{""damage_type"": ""Flood"", ""description"": ""Season report business rate set."", ""location"": {""lat"": 49.087041, ""lon"": 15.965241}}",2024-03-01
CLM1046,CUST3662,2025-06-03,6233.03,Pending,"{""damage_type"": ""Collision"", ""description"": ""Sometimes avoid whatever model he leave."", ""location"": {""lat"": 49.606839, ""lon"": 17.358471}}",2024-03-01
CLM1047,CUST4636,2025-06-03,4991.49,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Part sing student building business pressure southern."", ""location"": {""lat"": 50.515689, ""lon"": 12.798005}}",2024-03-01
CLM1048,CUST3293,2025-06-03,8227.08,Rejected,"{""damage_type"": ""Theft"", ""description"": ""Candidate table happy similar family."", ""location"": {""lat"": 49.142422, ""lon"": 12.537601}}",2024-03-01
CLM1049,CUST110,2025-06-03,4723.58,Pending,"{""damage_type"": ""Collision"", ""description"": ""Laugh deal strong what professional sister."", ""location"": {""lat"": 49.452361, ""lon"": 13.355018}}",2024-03-01
CLM1050,CUST2856,2025-06-03,8194.16,Approved,"{""damage_type"": ""Theft"", ""description"": ""Early picture full something."", ""location"": {""lat"": 50.844675, ""lon"": 14.655249}}",2024-03-01
CLM1051,CUST1593,2025-06-03,7458.4,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Practice act explain describe white just."", ""location"": {""lat"": 48.683669, ""lon"": 18.593696}}",2024-03-01
CLM1052,CUST3720,2025-06-03,3958.18,Approved,"{""damage_type"": ""Collision"", ""description"": ""Necessary large decade tax."", ""location"": {""lat"": 50.803872, ""lon"": 15.146403}}",2024-03-01
CLM1053,CUST2905,2025-06-03,1743.89,Pending,"{""damage_type"": ""Collision"", ""description"": ""Education majority sit entire."", ""location"": {""lat"": 49.334715, ""lon"": 15.978057}}",2024-03-01
CLM1054,CUST4549,2025-06-03,9810.16,Pending,"{""damage_type"": ""Theft"", ""description"": ""Seek above down prevent career."", ""location"": {""lat"": 50.369538, ""lon"": 14.702155}}",2024-03-01
CLM1055,CUST3667,2025-06-03,9026.73,Approved,"{""damage_type"": ""Flood"", ""description"": ""Arm middle success."", ""location"": {""lat"": 49.114057, ""lon"": 12.418988}}",2024-03-01
CLM1056,CUST706,2025-06-03,4114.05,Pending,"{""damage_type"": ""Theft"", ""description"": ""Kid set him he style."", ""location"": {""lat"": 49.530596, ""lon"": 13.045242}}",2024-03-01
CLM1057,CUST929,2025-06-03,5238.34,Pending,"{""damage_type"": ""Fire"", ""description"": ""Provide bring much business leg price."", ""location"": {""lat"": 49.462564, ""lon"": 14.767073}}",2024-03-01
CLM1058,CUST2571,2025-06-03,2218.18,Pending,"{""damage_type"": ""Flood"", ""description"": ""Condition bar audience want."", ""location"": {""lat"": 50.899988, ""lon"": 17.97604}}",2024-03-01
CLM1059,CUST1456,2025-06-03,6051.76,Rejected,"{""damage_type"": ""Theft"", ""description"": ""Piece machine debate onto."", ""location"": {""lat"": 50.579132, ""lon"": 13.234061}}",2024-03-01
CLM1060,CUST4658,2025-06-03,5801.21,Pending,"{""damage_type"": ""Flood"", ""description"": ""Put prove health hold modern focus."", ""location"": {""lat"": 48.860194, ""lon"": 13.06261}}",2024-03-01
CLM1061,CUST1349,2025-06-03,8268.17,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Project win Mr several while several."", ""location"": {""lat"": 49.308869, ""lon"": 18.365613}}",2024-03-01
CLM1062,CUST517,2025-06-03,5817.97,Rejected,"{""damage_type"": ""Theft"", ""description"": ""Relate possible approach successful include behavior."", ""location"": {""lat"": 49.725472, ""lon"": 16.997957}}",2024-03-01
CLM1063,CUST4852,2025-06-03,6409.48,Pending,"{""damage_type"": ""Flood"", ""description"": ""Space candidate have now human a explain."", ""location"": {""lat"": 48.690419, ""lon"": 12.593936}}",2024-03-01
CLM1064,CUST2966,2025-06-03,8709.15,Approved,"{""damage_type"": ""Flood"", ""description"": ""Only little girl."", ""location"": {""lat"": 50.979995, ""lon"": 17.483856}}",2024-03-01
CLM1065,CUST1956,2025-06-03,6303.9,Approved,"{""damage_type"": ""Theft"", ""description"": ""Wrong team local check close least building."", ""location"": {""lat"": 50.588039, ""lon"": 15.68296}}",2024-03-01
CLM1066,CUST3734,2025-06-03,1794.88,Approved,"{""damage_type"": ""Flood"", ""description"": ""Hear ground wear church message clearly."", ""location"": {""lat"": 48.759672, ""lon"": 12.620048}}",2024-03-01
CLM1067,CUST3384,2025-06-03,8673.45,Pending,"{""damage_type"": ""Fire"", ""description"": ""Any attorney avoid between."", ""location"": {""lat"": 50.346204, ""lon"": 14.35422}}",2024-03-01
CLM1068,CUST1314,2025-06-03,7835.5,Rejected,"{""damage_type"": ""Theft"", ""description"": ""Daughter country party trip."", ""location"": {""lat"": 49.649198, ""lon"": 18.372861}}",2024-03-01
CLM1069,CUST2370,2025-06-03,5955.88,Approved,"{""damage_type"": ""Flood"", ""description"": ""Military involve environmental situation candidate."", ""location"": {""lat"": 49.291082, ""lon"": 13.541039}}",2024-03-01
CLM1070,CUST3783,2025-06-03,4318.84,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Commercial who night year popular describe another."", ""location"": {""lat"": 49.371996, ""lon"": 18.028747}}",2024-03-01
CLM1071,CUST1103,2025-06-03,3643.21,Rejected,"{""damage_type"": ""Flood"", ""description"": ""Its interview ever why bank benefit."", ""location"": {""lat"": 50.47067, ""lon"": 17.673777}}",2024-03-01
CLM1072,CUST4495,2025-06-03,5857.76,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Relate store reflect thus report wear."", ""location"": {""lat"": 49.536535, ""lon"": 15.358042}}",2024-03-01
CLM1073,CUST4471,2025-06-03,2231.16,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Prevent energy player machine fight police."", ""location"": {""lat"": 48.888746, ""lon"": 16.832178}}",2024-03-01
CLM1074,CUST72,2025-06-03,8621.9,Pending,"{""damage_type"": ""Fire"", ""description"": ""Fund share piece administration side bill garden."", ""location"": {""lat"": 49.92927, ""lon"": 15.313441}}",2024-03-01
CLM1075,CUST4200,2025-06-03,6068.31,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Message box himself sure center."", ""location"": {""lat"": 50.97372, ""lon"": 12.22695}}",2024-03-01
CLM1076,CUST3314,2025-06-03,6090.86,Pending,"{""damage_type"": ""Fire"", ""description"": ""Section money network control significant return."", ""location"": {""lat"": 49.995633, ""lon"": 12.710163}}",2024-03-01
CLM1077,CUST2168,2025-06-03,4852.09,Pending,"{""damage_type"": ""Flood"", ""description"": ""Change which structure organization beyond worker answer price."", ""location"": {""lat"": 49.723297, ""lon"": 14.074461}}",2024-03-01
CLM1078,CUST535,2025-06-03,8863.35,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Different because nothing billion view fear baby response."", ""location"": {""lat"": 50.266206, ""lon"": 12.327143}}",2024-03-01
CLM1079,CUST1041,2025-06-03,7445.65,Approved,"{""damage_type"": ""Fire"", ""description"": ""Eat nation culture image heavy citizen society."", ""location"": {""lat"": 50.566102, ""lon"": 14.471867}}",2024-03-01
CLM1080,CUST1507,2025-06-03,2799.66,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Difference like bar truth run."", ""location"": {""lat"": 49.970694, ""lon"": 13.807719}}",2024-03-01
CLM1081,CUST313,2025-06-03,9275.87,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Born main report make."", ""location"": {""lat"": 50.276757, ""lon"": 18.597428}}",2024-03-01
CLM1082,CUST1036,2025-06-03,7012.53,Pending,"{""damage_type"": ""Collision"", ""description"": ""Most his blood box while environment."", ""location"": {""lat"": 50.876289, ""lon"": 16.500732}}",2024-03-01
CLM1083,CUST4908,2025-06-03,4667.15,Approved,"{""damage_type"": ""Theft"", ""description"": ""Run sister whole accept admit town majority pay."", ""location"": {""lat"": 50.51748, ""lon"": 16.863205}}",2024-03-01
CLM1084,CUST2242,2025-06-03,7228.27,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Dark why all safe particular evening."", ""location"": {""lat"": 48.659258, ""lon"": 18.717807}}",2024-03-01
CLM1085,CUST4720,2025-06-03,1214.14,Pending,"{""damage_type"": ""Flood"", ""description"": ""Her line arrive first position must."", ""location"": {""lat"": 50.225265, ""lon"": 14.679128}}",2024-03-01
CLM1086,CUST4742,2025-06-03,6665.11,Pending,"{""damage_type"": ""Collision"", ""description"": ""Actually visit church grow item real."", ""location"": {""lat"": 49.793965, ""lon"": 18.947798}}",2024-03-01
CLM1087,CUST1711,2025-06-03,9645.26,Approved,"{""damage_type"": ""Flood"", ""description"": ""Customer run government major yet."", ""location"": {""lat"": 50.547549, ""lon"": 13.909843}}",2024-03-01
CLM1088,CUST1969,2025-06-03,1968.75,Pending,"{""damage_type"": ""Flood"", ""description"": ""What culture foot face."", ""location"": {""lat"": 50.769937, ""lon"": 17.084521}}",2024-03-01
CLM1089,CUST2370,2025-06-03,8250.46,Rejected,"{""damage_type"": ""Theft"", ""description"": ""Party why try."", ""location"": {""lat"": 49.276893, ""lon"": 15.98359}}",2024-03-01
CLM1090,CUST4601,2025-06-03,8542.72,Rejected,"{""damage_type"": ""Flood"", ""description"": ""Stuff pick position month all."", ""location"": {""lat"": 48.664184, ""lon"": 12.371715}}",2024-03-01
CLM1091,CUST2910,2025-06-03,5098.73,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Design city property enough."", ""location"": {""lat"": 48.766497, ""lon"": 12.293219}}",2024-03-01
CLM1092,CUST89,2025-06-03,2912.24,Pending,"{""damage_type"": ""Collision"", ""description"": ""Pass dark real game professional."", ""location"": {""lat"": 50.83017, ""lon"": 18.280926}}",2024-03-01
CLM1093,CUST1251,2025-06-03,7637.58,Pending,"{""damage_type"": ""Theft"", ""description"": ""Instead today drug test."", ""location"": {""lat"": 48.787988, ""lon"": 15.755895}}",2024-03-01
CLM1094,CUST4987,2025-06-03,3179.86,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Avoid data clear reflect suffer traditional."", ""location"": {""lat"": 49.232136, ""lon"": 18.104128}}",2024-03-01
CLM1095,CUST66,2025-06-03,3599.62,Approved,"{""damage_type"": ""Collision"", ""description"": ""Draw other from."", ""location"": {""lat"": 50.170427, ""lon"": 17.534698}}",2024-03-01
CLM1096,CUST4626,2025-06-03,6174.59,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Along program cultural of marriage bill."", ""location"": {""lat"": 49.854942, ""lon"": 16.297631}}",2024-03-01
CLM1097,CUST2691,2025-06-03,4194.67,Approved,"{""damage_type"": ""Flood"", ""description"": ""Share prove increase certain leader skin sea."", ""location"": {""lat"": 50.911038, ""lon"": 13.972839}}",2024-03-01
CLM1098,CUST4811,2025-06-03,7472.68,Pending,"{""damage_type"": ""Collision"", ""description"": ""Job from add clearly clear mind."", ""location"": {""lat"": 49.642748, ""lon"": 17.102735}}",2024-03-01
CLM1099,CUST4285,2025-06-03,3136.14,Rejected,"{""damage_type"": ""Flood"", ""description"": ""Book change onto senior during lead."", ""location"": {""lat"": 50.22784, ""lon"": 16.964614}}",2024-03-01
CLM1100,CUST3777,2025-06-03,2112.14,Pending,"{""damage_type"": ""Flood"", ""description"": ""Opportunity campaign behavior law."", ""location"": {""lat"": 48.937942, ""lon"": 18.308633}}",2024-03-01
CLM1101,CUST127,2025-06-03,4162.41,Approved,"{""damage_type"": ""Fire"", ""description"": ""Difference believe drive leg."", ""location"": {""lat"": 50.726018, ""lon"": 13.115728}}",2024-03-01
CLM1102,CUST3044,2025-06-03,1803.72,Approved,"{""damage_type"": ""Theft"", ""description"": ""Nothing writer to purpose guy tell indeed."", ""location"": {""lat"": 50.777078, ""lon"": 15.662632}}",2024-03-01
CLM1103,CUST2641,2025-06-03,2860.93,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Experience ago only item news."", ""location"": {""lat"": 50.523677, ""lon"": 12.801757}}",2024-03-01
CLM1104,CUST3683,2025-06-03,9098.55,Approved,"{""damage_type"": ""Fire"", ""description"": ""Hard action push evening produce eight show series."", ""location"": {""lat"": 49.060625, ""lon"": 13.263832}}",2024-03-01
CLM1105,CUST4023,2025-06-03,3281.16,Pending,"{""damage_type"": ""Fire"", ""description"": ""Medical degree sometimes exactly half."", ""location"": {""lat"": 49.990312, ""lon"": 18.923332}}",2024-03-01
CLM1106,CUST6,2025-06-03,9645.38,Approved,"{""damage_type"": ""Fire"", ""description"": ""Manager perform return full since rich."", ""location"": {""lat"": 50.660241, ""lon"": 16.935205}}",2024-03-01
CLM1107,CUST182,2025-06-03,9587.32,Approved,"{""damage_type"": ""Flood"", ""description"": ""Together though usually almost there."", ""location"": {""lat"": 50.750404, ""lon"": 15.625183}}",2024-03-01
CLM1108,CUST828,2025-06-03,3923.34,Pending,"{""damage_type"": ""Fire"", ""description"": ""Goal resource involve girl myself he."", ""location"": {""lat"": 50.01416, ""lon"": 17.660519}}",2024-03-01
CLM1109,CUST4622,2025-06-03,4132.71,Pending,"{""damage_type"": ""Fire"", ""description"": ""Check still fact interest economic field."", ""location"": {""lat"": 49.082601, ""lon"": 16.802036}}",2024-03-01
CLM1110,CUST2470,2025-06-03,4544.97,Approved,"{""damage_type"": ""Flood"", ""description"": ""Land old hear smile."", ""location"": {""lat"": 50.210054, ""lon"": 18.108078}}",2024-03-01
CLM1111,CUST755,2025-06-03,5145.44,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Idea tax simply specific."", ""location"": {""lat"": 50.241423, ""lon"": 12.435586}}",2024-03-01
CLM1112,CUST1629,2025-06-03,9311.34,Approved,"{""damage_type"": ""Collision"", ""description"": ""Call better increase mind."", ""location"": {""lat"": 49.130663, ""lon"": 15.944449}}",2024-03-01
CLM1113,CUST2841,2025-06-03,2519.15,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Sometimes individual painting character specific this size."", ""location"": {""lat"": 50.949068, ""lon"": 15.33637}}",2024-03-01
CLM1114,CUST3025,2025-06-03,3442.68,Approved,"{""damage_type"": ""Theft"", ""description"": ""Indeed stage all growth."", ""location"": {""lat"": 49.776577, ""lon"": 12.736524}}",2024-03-01
CLM1115,CUST3288,2025-06-03,8341.59,Approved,"{""damage_type"": ""Theft"", ""description"": ""Natural they wrong know skin into PM."", ""location"": {""lat"": 50.827244, ""lon"": 17.682572}}",2024-03-01
CLM1116,CUST2715,2025-06-03,4818.1,Rejected,"{""damage_type"": ""Theft"", ""description"": ""Onto result best make."", ""location"": {""lat"": 48.583122, ""lon"": 14.820664}}",2024-03-01
CLM1117,CUST1270,2025-06-03,1178.36,Pending,"{""damage_type"": ""Flood"", ""description"": ""Will out head no growth idea."", ""location"": {""lat"": 49.627507, ""lon"": 12.602661}}",2024-03-01
CLM1118,CUST2813,2025-06-03,8763.1,Approved,"{""damage_type"": ""Collision"", ""description"": ""Week difference onto near policy buy down recognize."", ""location"": {""lat"": 48.898403, ""lon"": 15.128081}}",2024-03-01
CLM1119,CUST673,2025-06-03,7846.83,Pending,"{""damage_type"": ""Theft"", ""description"": ""Understand positive enough board could while court."", ""location"": {""lat"": 49.271053, ""lon"": 15.248285}}",2024-03-01
CLM1120,CUST2002,2025-06-03,1392.71,Pending,"{""damage_type"": ""Flood"", ""description"": ""Leg always party."", ""location"": {""lat"": 48.793401, ""lon"": 16.067922}}",2024-03-01
CLM1121,CUST120,2025-06-03,2657.67,Rejected,"{""damage_type"": ""Theft"", ""description"": ""Avoid close tree subject."", ""location"": {""lat"": 48.903218, ""lon"": 14.395592}}",2024-03-01
CLM1122,CUST452,2025-06-03,3639.43,Rejected,"{""damage_type"": ""Theft"", ""description"": ""In charge TV laugh item about."", ""location"": {""lat"": 50.165642, ""lon"": 18.267351}}",2024-03-01
CLM1123,CUST1217,2025-06-03,9219.8,Pending,"{""damage_type"": ""Flood"", ""description"": ""Establish military rest difficult space low skin."", ""location"": {""lat"": 50.102836, ""lon"": 18.092705}}",2024-03-01
CLM1124,CUST806,2025-06-03,8684.03,Rejected,"{""damage_type"": ""Fire"", ""description"": ""Time herself establish way especially."", ""location"": {""lat"": 50.252629, ""lon"": 14.721635}}",2024-03-01
CLM1125,CUST1200,2025-06-03,3769.13,Rejected,"{""damage_type"": ""Collision"", ""description"": ""Through offer wind trip sort position officer sometimes."", ""location"": {""lat"": 50.967492, ""lon"": 15.48794}}",2024-03-01
CLM1126,CUST3808,2025-06-03,1676.2,Pending,"{""damage_type"": ""Theft"", ""description"": ""Why bag eight will across."", ""location"": {""lat"": 49.997647, ""lon"": 12.025891}}",2024-03-01
CLM1127,CUST2347,2025-06-03,7505.48,Approved,"{""damage_type"": ""Theft"", ""description"": ""Whatever represent economy according."", ""location"": {""lat"": 50.499985, ""lon"": 12.346872}}",2024-03-01
CLM1128,CUST213,2025-06-03,9975.05,Pending,"{""damage_type"": ""Collision"", ""description"": ""Way experience event until."", ""location"": {""lat"": 49.432499, ""lon"": 17.177221}}",2024-03-01
CLM1129,CUST195,2025-06-03,7991.37,Approved,"{""damage_type"": ""Theft"", ""description"": ""Identify value sort million."", ""location"": {""lat"": 50.26546, ""lon"": 12.919084}}",2024-03-01
CLM1130,CUST1938,2025-06-03,8070.97,Approved,"{""damage_type"": ""Collision"", ""description"": ""True important evidence teacher these perform."", ""location"": {""lat"": 49.327447, ""lon"": 13.162202}}",2024-03-01
CLM1131,CUST1505,2025-06-03,9853.58,Pending,"{""damage_type"": ""Theft"", ""description"": ""Science art specific once woman you wonder."", ""location"": {""lat"": 49.499251, ""lon"": 14.462917}}",2024-03-01
CLM1132,CUST757,2025-06-03,7097.09,Pending,"{""damage_type"": ""Flood"", ""description"": ""Visit talk remember."", ""location"": {""lat"": 49.698438, ""lon"": 18.303177}}",2024-03-01
CLM1133,CUST1273,2025-06-03,3155.88,Pending,"{""damage_type"": ""Collision"", ""description"": ""Year single indicate too PM executive."", ""location"": {""lat"": 49.068181, ""lon"": 14.12233}}",2024-03-01
CLM1134,CUST2726,2025-06-03,3728.87,Rejected,"{""damage_type"": ""Fire"", ""description"": ""You some wrong alone."", ""location"": {""lat"": 50.609656, ""lon"": 12.60794}}",2024-03-01
CLM1135,CUST3734,2025-06-03,9195.66,Pending,"{""damage_type"": ""Theft"", ""description"": ""Option stage successful sing follow."", ""location"": {""lat"": 49.87133, ""lon"": 15.554994}}",2024-03-01
CLM1136,CUST1134,2025-06-03,6616.6,Pending,"{""damage_type"": ""Flood"", ""description"": ""Including our task technology which."", ""location"": {""lat"": 49.782641, ""lon"": 18.300041}}",2024-03-01
