policy_id,customer_id,agent_id,product_id,start_date,end_date,premium,status,snapshot_date
POL1053,CUST246,AG1072,PRD1008,2024-03-18,2025-10-25,2090.12,Active,2024-03-01
POL1054,CUST4651,AG1349,PRD1024,2023-11-26,2026-04-04,1106.5,Active,2024-03-01
POL1055,CUST821,AG1387,PRD1042,2023-06-18,2026-05-21,1940.79,Cancelled,2024-03-01
POL1056,CUST2146,AG1070,PRD1032,2024-03-25,2025-08-21,2750.04,Active,2024-03-01
POL1057,CUST1485,AG1151,PRD1038,2024-03-14,2026-05-04,1319.67,Cancelled,2024-03-01
POL1058,CUST3092,AG1036,PRD1011,2023-12-08,2025-07-06,2018.94,Expired,2024-03-01
POL1059,CUST2655,AG1312,PRD1019,2024-03-10,2025-08-20,4112.39,,2024-03-01
POL1060,CUST403,AG1269,PRD1048,2023-10-27,2026-02-26,3775.29,Expired,2024-03-01
POL1061,CUST4892,AG1104,PRD1018,2023-11-18,2025-08-25,2162.63,Expired,2024-03-01
POL1062,CUST881,AG1023,PRD1028,2023-11-03,2026-02-25,3553.82,Cancelled,2024-03-01
POL1063,CUST4796,AG1434,PRD1026,2024-05-25,2025-07-06,4213.57,Active,2024-03-01
POL1064,CUST975,AG1050,PRD1034,2023-12-22,2026-02-07,1680.85,Active,2024-03-01
POL1065,CUST3925,AG1180,PRD1048,2023-10-30,2025-07-18,4230.28,Expired,2024-03-01
POL1066,CUST3935,AG1020,PRD1030,2024-05-01,2025-10-14,2213.01,Expired,2024-03-01
POL1067,CUST2281,AG1366,PRD1037,2023-11-15,2025-07-06,702.26,Cancelled,2024-03-01
POL1068,CUST3769,AG1102,PRD1018,2023-08-20,2026-03-27,1184.96,Expired,2024-03-01
POL1069,CUST1235,AG1043,PRD1027,2024-01-04,2025-07-27,4355.58,Cancelled,2024-03-01
POL1070,CUST2863,AG1010,PRD1006,2024-05-27,2026-04-18,3025.65,Cancelled,2024-03-01
POL1071,CUST4496,AG1439,PRD1014,2024-05-30,2025-12-08,2814.2,Cancelled,2024-03-01
POL1072,CUST1778,AG1485,PRD1027,2024-05-31,2025-06-26,4829.76,Active,2024-03-01
POL1073,CUST416,AG1277,PRD1021,2024-01-21,2026-01-15,2884.57,Active,2024-03-01
POL1074,CUST701,AG1009,PRD1005,2023-06-23,2025-11-04,3383.72,Expired,2024-03-01
POL1075,CUST2325,AG1133,PRD1029,2023-11-23,2026-01-24,3615.13,Active,2024-03-01
POL1076,CUST1996,AG1454,PRD1011,2023-08-19,2026-03-26,777.16,Cancelled,2024-03-01
POL1077,CUST525,AG1440,PRD1039,2023-11-09,2026-04-19,1288.01,Expired,2024-03-01
POL1078,CUST2949,AG1017,PRD1040,2023-12-27,2026-03-03,1246.99,Cancelled,2024-03-01
POL1079,CUST4477,AG1002,PRD1021,2023-06-09,2026-04-21,2237.16,Active,2024-03-01
POL1080,CUST100,AG1275,PRD1005,2023-08-14,2026-04-27,1590.65,,2024-03-01
POL1081,CUST4108,AG1068,PRD1020,2024-05-14,2026-03-16,830.76,Active,2024-03-01
POL1082,CUST454,AG1035,PRD1031,2024-05-10,2025-06-19,1498.26,Cancelled,2024-03-01
POL1083,CUST507,AG1362,PRD1011,2023-10-01,2026-03-14,2084.16,Expired,2024-03-01
POL1084,CUST991,AG1453,PRD1013,2023-09-13,2026-01-01,3446.06,Active,2024-03-01
POL1085,CUST2603,AG1468,PRD1014,2023-12-26,2025-09-08,2012.23,Cancelled,2024-03-01
POL1086,CUST3268,AG1289,PRD1030,2024-02-07,2025-08-27,1382.39,Expired,2024-03-01
POL1087,CUST3246,AG1408,PRD1001,2024-04-09,2025-11-14,750.56,Cancelled,2024-03-01
POL1088,CUST2177,AG1186,PRD1039,2023-06-25,2025-09-15,936.43,Expired,2024-03-01
POL1089,CUST3863,AG1020,PRD1034,2023-09-12,2026-01-31,4594.41,Active,2024-03-01
POL1090,CUST2384,AG1361,PRD1044,2023-09-16,2026-02-27,1839.83,Active,2024-03-01
POL1091,CUST3597,AG1238,PRD1029,2024-03-27,2025-12-04,3646.29,Cancelled,2024-03-01
POL1092,CUST3422,AG1232,PRD1007,2023-09-03,2026-05-22,2470.67,Cancelled,2024-03-01
POL1093,CUST904,AG1164,PRD1005,2023-06-29,2025-10-06,3462.62,Cancelled,2024-03-01
POL1094,CUST146,AG1202,PRD1034,2024-02-10,2025-12-08,2065.2,Active,2024-03-01
POL1095,CUST1805,AG1133,PRD1038,2023-09-01,2025-06-27,1753.87,Expired,2024-03-01
POL1096,CUST1520,AG1234,PRD1041,2023-08-14,2025-07-24,4135.24,Active,2024-03-01
POL1097,CUST4119,AG1241,PRD1036,2023-09-29,2025-09-20,2115.86,Expired,2024-03-01
POL1098,CUST2770,AG1065,PRD1049,2024-03-11,2026-04-14,3753.83,Active,2024-03-01
POL1099,CUST4575,AG1396,PRD1042,2023-11-05,2026-04-29,3413.67,Cancelled,2024-03-01
POL1100,CUST3980,AG1315,PRD1029,2023-09-21,2025-11-05,1038.45,Active,2024-03-01
POL1101,CUST862,AG1137,PRD1018,2023-12-07,2025-07-27,3984.56,Cancelled,2024-03-01
POL1102,CUST1217,AG1376,PRD1033,2024-03-13,2025-11-19,4782.19,Active,2024-03-01
POL1103,CUST4641,AG1132,PRD1036,2023-12-31,2025-06-22,2163.43,Cancelled,2024-03-01
POL1104,CUST1002,AG1219,PRD1048,2024-04-16,2025-07-19,2284.5,Active,2024-03-01
POL1105,CUST3,AG1313,PRD1028,2023-06-09,2025-10-09,4456.74,Cancelled,2024-03-01
POL1106,CUST3970,AG1485,PRD1023,2023-09-21,2026-05-20,2815.13,Expired,2024-03-01
POL1107,CUST2153,AG1361,PRD1032,2024-02-06,2026-01-03,2649.79,Cancelled,2024-03-01
POL1108,CUST697,AG1257,PRD1027,2023-11-07,2025-06-23,2919.5,Cancelled,2024-03-01
POL1109,CUST1483,AG1470,PRD1040,2023-10-03,2025-06-10,4322.55,Expired,2024-03-01
POL1110,CUST1206,AG1370,PRD1046,2023-12-11,2025-10-29,4154.88,Cancelled,2024-03-01
POL1111,CUST393,AG1302,PRD1031,2023-09-14,2025-07-27,4812.57,Cancelled,2024-03-01
POL1112,CUST4935,AG1100,PRD1040,2023-06-27,2026-05-05,3102.03,Expired,2024-03-01
POL1113,CUST2319,AG1011,PRD1016,2024-01-04,2026-03-18,3472.66,Expired,2024-03-01
POL1114,CUST2021,AG1394,PRD1042,2024-05-28,2025-12-13,2067.08,Cancelled,2024-03-01
POL1115,CUST4869,AG1264,PRD1033,2024-04-27,2025-06-30,3206.67,Active,2024-03-01
POL1116,CUST1066,AG1378,PRD1032,2023-09-20,2025-06-21,3506.74,Expired,2024-03-01
POL1117,CUST1225,AG1135,PRD1013,2024-03-10,2026-02-15,2901.54,Cancelled,2024-03-01
POL1118,CUST824,AG1040,PRD1042,2023-07-05,2026-01-25,2480.27,Active,2024-03-01
POL1119,CUST2170,AG1095,PRD1036,2024-04-20,2025-12-30,2518.65,Expired,2024-03-01
POL1120,CUST3477,AG1344,PRD1009,2023-12-28,2025-12-29,2458.31,Active,2024-03-01
POL1121,CUST1010,AG1222,PRD1025,2023-11-01,2025-09-09,1985.73,Expired,2024-03-01
POL1122,CUST3024,AG1123,PRD1034,2023-11-28,2025-06-21,1784.94,Active,2024-03-01
POL1123,CUST44,AG1480,PRD1024,2023-10-25,2026-05-04,2489.26,Cancelled,2024-03-01
POL1124,CUST4286,AG1128,PRD1041,2024-03-03,2025-12-29,3990.62,Expired,2024-03-01
POL1125,CUST1133,AG1319,PRD1011,2023-06-21,2026-01-12,4344.05,Expired,2024-03-01
POL1126,CUST3054,AG1032,PRD1018,2023-09-22,2026-05-29,4844.62,Cancelled,2024-03-01
POL1127,CUST4088,AG1152,PRD1031,2023-06-05,2025-11-18,1400.7,Expired,2024-03-01
POL1128,CUST1568,AG1448,PRD1043,2023-11-17,2026-03-09,4227.43,Active,2024-03-01
POL1129,CUST3767,AG1018,PRD1007,2024-02-15,2026-02-20,695.46,Expired,2024-03-01
POL1130,CUST1565,AG1214,PRD1025,2024-04-05,2025-10-31,2316.09,,2024-03-01
POL1131,CUST1083,AG1474,PRD1045,2024-05-18,2026-05-11,599.52,Cancelled,2024-03-01
POL1132,CUST2472,AG1020,PRD1029,2024-02-13,2025-08-21,2697.75,Expired,2024-03-01
POL1133,CUST4930,AG1235,PRD1043,2023-07-27,2026-03-31,3115.31,Expired,2024-03-01
POL1134,CUST2617,AG1038,PRD1048,2023-12-04,2025-08-24,3290.15,Cancelled,2024-03-01
POL1135,CUST2316,AG1360,PRD1050,2024-02-18,2026-04-26,870.47,Active,2024-03-01
POL1136,CUST447,AG1410,PRD1022,2023-06-13,2025-11-27,1639.63,Expired,2024-03-01
POL1137,CUST4491,AG1161,PRD1023,2024-04-30,2026-04-24,1330.93,,2024-03-01
POL1138,CUST2674,AG1286,PRD1039,2023-08-14,2025-12-27,1243.57,Expired,2024-03-01
POL1139,CUST3714,AG1398,PRD1050,2023-09-25,2026-02-18,4860.6,Cancelled,2024-03-01
POL1140,CUST347,AG1127,PRD1045,2023-08-28,2025-10-23,4798.91,Cancelled,2024-03-01
POL1141,CUST2078,AG1343,PRD1024,2023-06-18,2025-09-19,2113.63,Active,2024-03-01
POL1142,CUST2570,AG1188,PRD1017,2024-01-11,2025-07-07,3756.57,Expired,2024-03-01
POL1143,CUST2719,AG1010,PRD1015,2024-04-07,2025-08-28,4717.28,Active,2024-03-01
POL1144,CUST1084,AG1241,PRD1038,2023-06-26,2025-06-16,3420.34,Expired,2024-03-01
POL1145,CUST2950,AG1076,PRD1034,2024-02-12,2026-03-19,2103.84,Active,2024-03-01
POL1146,CUST416,AG1096,PRD1025,2024-02-24,2025-08-20,2146.28,Expired,2024-03-01
POL1147,CUST4789,AG1193,PRD1025,2024-03-01,2026-06-03,2577.79,Cancelled,2024-03-01
POL1148,CUST858,AG1101,PRD1044,2023-06-12,2026-01-15,3909.61,Cancelled,2024-03-01
POL1149,CUST815,AG1284,PRD1047,2023-11-28,2025-10-03,1554.33,,2024-03-01
POL1150,CUST1530,AG1377,PRD1045,2023-08-08,2025-06-09,4660.97,Active,2024-03-01
POL1151,CUST820,AG1384,PRD1038,2023-11-16,2025-09-06,4095.7,Expired,2024-03-01
POL1152,CUST882,AG1005,PRD1004,2024-01-16,2026-02-16,4695.55,Expired,2024-03-01
POL1153,CUST2066,AG1459,PRD1003,2023-06-10,2026-04-24,4236.42,Expired,2024-03-01
POL1154,CUST282,AG1283,PRD1024,2023-11-22,2025-09-19,4664.73,Cancelled,2024-03-01
POL1155,CUST1368,AG1397,PRD1020,2023-11-09,2026-02-05,4365.95,Active,2024-03-01
POL1156,CUST1747,AG1416,PRD1016,2023-12-03,2025-11-17,1286.9,Cancelled,2024-03-01
POL1157,CUST4892,AG1039,PRD1039,2024-05-08,2025-09-04,2305.97,Active,2024-03-01
POL1158,CUST3654,AG1279,PRD1025,2023-07-25,2026-04-30,3654.51,Cancelled,2024-03-01
POL1159,CUST1813,AG1222,PRD1003,2024-03-07,2026-02-23,1654.41,Expired,2024-03-01
POL1160,CUST634,AG1427,PRD1042,2023-07-25,2025-11-20,672.49,Active,2024-03-01
POL1161,CUST3535,AG1204,PRD1029,2023-12-30,2025-11-10,1715.15,Cancelled,2024-03-01
POL1162,CUST3754,AG1315,PRD1003,2024-01-30,2026-02-17,1033.73,Active,2024-03-01
POL1163,CUST703,AG1274,PRD1018,2023-10-23,2026-01-10,2214.44,Cancelled,2024-03-01
POL1164,CUST2239,AG1452,PRD1020,2023-07-26,2025-12-12,3499.06,Active,2024-03-01
POL1165,CUST122,AG1233,PRD1039,2024-05-28,2026-05-14,634.85,Cancelled,2024-03-01
POL1166,CUST2052,AG1271,PRD1045,2024-01-27,2026-01-12,3480.53,Cancelled,2024-03-01
POL1167,CUST2616,AG1170,PRD1045,2023-09-26,2025-10-18,1025.87,Expired,2024-03-01
POL1168,CUST2404,AG1198,PRD1001,2024-03-29,2025-11-16,4795.38,Expired,2024-03-01
POL1169,CUST1173,AG1192,PRD1043,2023-07-06,2025-10-24,,Expired,2024-03-01
POL1170,CUST320,AG1272,PRD1041,2024-04-11,2025-06-24,2859.02,Active,2024-03-01
POL1171,CUST417,AG1374,PRD1001,2023-09-03,2026-02-04,2581.19,Active,2024-03-01
POL1172,CUST2591,AG1232,PRD1012,2024-04-08,2026-01-24,2251.61,Active,2024-03-01
POL1173,CUST2163,AG1136,PRD1050,2024-03-01,2025-12-06,1041.19,Active,2024-03-01
POL1174,CUST343,AG1265,PRD1026,2023-09-13,2025-07-11,1729.34,Active,2024-03-01
POL1175,CUST3752,AG1486,PRD1049,2023-11-26,2026-03-13,1774.76,Active,2024-03-01
POL1176,CUST1653,AG1133,PRD1018,2024-05-28,2025-07-04,2006.87,Active,2024-03-01
POL1177,CUST297,AG1224,PRD1004,2023-09-17,2025-10-21,3112.22,Cancelled,2024-03-01
POL1178,CUST508,AG1281,PRD1033,2023-12-13,2026-03-13,507.4,Cancelled,2024-03-01
POL1179,CUST2957,AG1126,PRD1002,2023-11-22,2025-08-06,696.02,Active,2024-03-01
POL1180,CUST3106,AG1149,PRD1036,2023-08-09,2025-09-23,4628.99,Cancelled,2024-03-01
POL1181,CUST2685,AG1046,PRD1017,2023-08-18,2025-09-01,1371.0,Active,2024-03-01
POL1182,CUST1034,AG1196,PRD1010,2023-10-04,2025-10-01,4960.12,Expired,2024-03-01
POL1183,CUST3364,AG1181,PRD1009,2024-01-29,2025-06-29,4636.44,Cancelled,2024-03-01
POL1184,CUST3237,AG1034,PRD1005,2023-07-31,2026-05-25,3762.79,Cancelled,2024-03-01
POL1185,CUST256,AG1343,PRD1011,2024-05-15,2025-06-17,1649.16,Cancelled,2024-03-01
POL1186,CUST4079,AG1423,PRD1036,2023-07-24,2025-07-23,4536.37,Expired,2024-03-01
POL1187,CUST1843,AG1138,PRD1007,2024-01-29,2026-02-14,1921.46,Expired,2024-03-01
POL1188,CUST1644,AG1016,PRD1022,2023-11-03,2026-05-21,1721.27,Expired,2024-03-01
POL1189,CUST944,AG1321,PRD1017,2023-10-25,2026-02-27,2595.35,Active,2024-03-01
POL1190,CUST2232,AG1085,PRD1008,2024-04-28,2026-05-26,724.47,Active,2024-03-01
POL1191,CUST3861,AG1036,PRD1040,2023-10-21,2026-03-08,4113.55,Cancelled,2024-03-01
POL1192,CUST4079,AG1069,PRD1031,2023-10-01,2025-08-09,1006.2,Active,2024-03-01
POL1193,CUST4321,AG1273,PRD1022,2024-03-18,2025-11-22,921.42,Expired,2024-03-01
POL1194,CUST662,AG1206,PRD1018,2023-06-20,2026-04-14,4247.58,Cancelled,2024-03-01
POL1195,CUST2951,AG1431,PRD1003,2023-07-25,2025-12-28,1035.08,Active,2024-03-01
POL1196,CUST3307,AG1240,PRD1013,2024-05-15,2026-04-15,2464.3,Active,2024-03-01
POL1197,CUST1011,AG1360,PRD1010,2024-03-25,2025-06-27,1557.35,Cancelled,2024-03-01
POL1198,CUST4861,AG1332,PRD1023,2024-04-03,2026-03-26,591.77,Active,2024-03-01
POL1199,CUST405,AG1170,PRD1016,2023-08-22,2025-10-15,1585.49,Active,2024-03-01
POL1200,CUST707,AG1234,PRD1047,2023-08-25,2025-06-12,1123.47,Active,2024-03-01
POL1201,CUST1320,AG1266,PRD1018,2023-10-14,2025-08-04,3236.27,Expired,2024-03-01
POL1202,CUST2056,AG1447,PRD1020,2023-12-04,2025-07-25,3724.89,Active,2024-03-01
POL1203,CUST3519,AG1495,PRD1024,2023-09-15,2026-05-19,826.36,Expired,2024-03-01
POL1204,CUST4854,AG1112,PRD1048,2023-11-16,2025-11-29,3496.99,Active,2024-03-01
POL1205,CUST717,AG1406,PRD1043,2024-01-11,2026-05-10,2026.97,Expired,2024-03-01
POL1206,CUST2212,AG1478,PRD1046,2023-08-30,2025-08-06,690.86,Cancelled,2024-03-01
POL1207,CUST2306,AG1474,PRD1016,2023-07-19,2026-01-08,1376.57,Cancelled,2024-03-01
POL1208,CUST3697,AG1376,PRD1016,2023-09-05,2025-09-17,824.74,Expired,2024-03-01
POL1209,CUST3543,AG1367,PRD1006,2024-05-16,2026-04-28,2786.53,Expired,2024-03-01
POL1210,CUST4437,AG1193,PRD1005,2024-03-23,2025-12-14,828.59,Cancelled,2024-03-01
POL1211,CUST4948,AG1351,PRD1032,2023-08-26,2026-01-08,3106.69,Active,2024-03-01
POL1212,CUST1201,AG1101,PRD1006,2023-10-28,2025-06-16,2603.97,Expired,2024-03-01
POL1213,CUST3059,AG1039,PRD1011,2023-08-13,2026-02-16,1139.51,Expired,2024-03-01
POL1214,CUST3696,AG1357,PRD1011,2024-03-02,2025-06-15,4666.66,Cancelled,2024-03-01
POL1215,CUST2256,AG1452,PRD1017,2024-03-21,2025-12-29,2235.35,Expired,2024-03-01
POL1216,CUST493,AG1145,PRD1040,2024-05-10,2025-09-04,4230.11,Expired,2024-03-01
POL1217,CUST2096,AG1171,PRD1038,2024-04-07,2026-05-13,2579.2,Active,2024-03-01
POL1218,CUST4591,AG1388,PRD1047,2024-02-05,2026-03-01,698.68,Active,2024-03-01
POL1219,CUST1001,AG1130,PRD1043,2024-02-18,2025-12-17,1066.37,Expired,2024-03-01
POL1220,CUST876,AG1315,PRD1049,2024-02-05,2025-11-29,515.77,Expired,2024-03-01
POL1221,CUST4368,AG1206,PRD1023,2024-05-10,2025-08-15,2410.69,Cancelled,2024-03-01
POL1222,CUST4397,AG1223,PRD1045,2024-01-04,2026-05-18,4250.71,Cancelled,2024-03-01
POL1223,CUST2337,AG1359,PRD1036,2023-10-15,2025-07-22,3940.8,Cancelled,2024-03-01
POL1224,CUST1551,AG1446,PRD1040,2023-06-26,2026-04-05,1565.18,Cancelled,2024-03-01
POL1225,CUST3915,AG1325,PRD1025,2024-01-14,2025-11-14,3103.26,Expired,2024-03-01
POL1226,CUST2443,AG1052,PRD1047,2023-12-31,2026-05-16,1652.97,Active,2024-03-01
POL1227,CUST3883,AG1350,PRD1043,2024-05-28,2026-01-28,1056.5,Cancelled,2024-03-01
POL1228,CUST2361,AG1133,PRD1014,2023-09-22,2025-06-20,4641.91,Expired,2024-03-01
POL1229,CUST2466,AG1099,PRD1007,2023-06-20,2025-12-13,1422.98,,2024-03-01
POL1230,CUST1688,AG1266,PRD1027,2023-12-08,2025-08-15,1191.76,Active,2024-03-01
POL1231,CUST2833,AG1146,PRD1031,2024-03-22,2025-07-08,1708.63,Active,2024-03-01
POL1232,CUST3760,AG1023,PRD1032,2023-11-19,2025-12-02,3115.18,Cancelled,2024-03-01
POL1233,CUST2608,AG1245,PRD1023,2024-02-29,2025-10-05,2057.06,Active,2024-03-01
POL1234,CUST1758,AG1071,PRD1016,2023-07-09,2026-05-21,3993.21,Cancelled,2024-03-01
POL1235,CUST3627,AG1441,PRD1010,2023-10-27,2025-09-12,1809.88,Active,2024-03-01
POL1236,CUST1944,AG1405,PRD1020,2024-05-11,2025-06-21,4122.69,Active,2024-03-01
POL1237,CUST402,AG1020,PRD1002,2023-07-03,2026-01-29,4762.53,Active,2024-03-01
POL1238,CUST333,AG1155,PRD1027,2023-11-12,2025-10-21,3981.29,Active,2024-03-01
POL1239,CUST2627,AG1453,PRD1050,2024-03-24,2026-03-02,790.62,Active,2024-03-01
POL1240,CUST1146,AG1335,PRD1003,2024-04-07,2025-08-29,1290.75,Expired,2024-03-01
POL1241,CUST3619,AG1235,PRD1029,2023-10-04,2025-12-04,1742.22,Expired,2024-03-01
POL1242,CUST2533,AG1466,PRD1042,2024-05-16,2026-04-18,3666.95,Active,2024-03-01
POL1243,CUST1336,AG1372,PRD1017,2023-07-17,2025-06-25,763.08,Active,2024-03-01
POL1244,CUST787,AG1382,PRD1030,2023-10-25,2026-04-13,1241.01,Cancelled,2024-03-01
POL1245,CUST4951,AG1080,PRD1001,2024-04-04,2025-06-11,1064.9,Expired,2024-03-01
POL1246,CUST374,AG1232,PRD1016,2023-08-18,2026-05-01,3751.7,Cancelled,2024-03-01
POL1247,CUST2778,AG1388,PRD1034,2023-08-16,2026-03-09,4572.81,Cancelled,2024-03-01
POL1248,CUST3852,AG1160,PRD1037,2023-10-22,2025-06-19,563.88,Active,2024-03-01
POL1249,CUST408,AG1189,PRD1050,2024-04-24,2025-09-09,2862.48,Active,2024-03-01
POL1250,CUST4057,AG1064,PRD1048,2023-08-15,2026-02-12,4473.76,Expired,2024-03-01
POL1251,CUST3998,AG1392,PRD1020,2024-02-06,2025-06-06,1213.06,Cancelled,2024-03-01
POL1252,CUST4557,AG1210,PRD1049,2023-06-26,2026-01-27,914.71,Active,2024-03-01
POL1253,CUST1817,AG1239,PRD1012,2024-01-19,2025-08-15,1470.52,Active,2024-03-01
POL1254,CUST4045,AG1423,PRD1003,2023-08-21,2025-10-14,1964.57,Expired,2024-03-01
POL1255,CUST2663,AG1251,PRD1041,2024-04-05,2026-05-19,4682.82,Active,2024-03-01
POL1256,CUST4345,AG1012,PRD1014,2024-04-30,2025-07-01,4362.24,Expired,2024-03-01
POL1257,CUST3690,AG1041,PRD1040,2023-08-29,2025-07-08,2550.46,Expired,2024-03-01
POL1258,CUST3959,AG1320,PRD1046,2023-07-28,2026-05-25,800.89,Active,2024-03-01
POL1259,CUST3249,AG1255,PRD1019,2023-12-03,2026-03-08,2888.58,Active,2024-03-01
POL1260,CUST1807,AG1018,PRD1033,2024-05-03,2026-02-20,2711.22,Active,2024-03-01
POL1261,CUST1632,AG1143,PRD1050,2024-01-21,2025-09-09,3752.54,Expired,2024-03-01
POL1262,CUST2186,AG1436,PRD1027,2023-11-24,2026-05-24,3398.15,Cancelled,2024-03-01
POL1263,CUST4716,AG1280,PRD1028,2023-11-14,2026-02-14,4034.46,Expired,2024-03-01
POL1264,CUST4588,AG1040,PRD1017,2024-02-21,2026-05-28,3594.69,Cancelled,2024-03-01
POL1265,CUST1871,AG1035,PRD1043,2023-08-14,2025-07-07,1995.46,Cancelled,2024-03-01
POL1266,CUST28,AG1306,PRD1024,2023-08-26,2025-07-05,1896.48,Expired,2024-03-01
POL1267,CUST2218,AG1248,PRD1005,2024-04-07,2025-10-17,750.69,Cancelled,2024-03-01
